ProjectID;ProjectComitteeE;ProjectTitle;Agency;FiscalYear;CompetitionYear;ProgramID;Program;ProgramType;ProgramF;ProgramTypeF;PrincipalInvestigator;InterUnivColl;NofOrganization;OrganizationID;Affiliation;Organization;OrganizationGroup;OrganizationGroupF;Province;FProvince;Payment;InterUnivCollF;NofCollaborators;ID_Projet;Code_Comite;Code_Agence;Comite;FComite
CIHR80060;Behavioural Sciences - C: Behavioural Studies, Neuroscience and Cognition;Interactions between cortical stimulation and prefrontal population dynamics;CIHR;2022-2023;2021;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;Ebitz, Becket;Without Collaborator;0;63;Université de Montréal;Université de Montréal;Universities;Universités;Quebec;Québec;196605;Without Collaborator;0;CIHR11290;DRA;CIHR;Doctoral Research Awards - A;Déterminants psychosociaux, socioculturels et comportementaux de la santé - B
CIHR73809;Behavioural Sciences - C: Behavioural Studies, Neuroscience and Cognition;Neural mechanisms of embodied decision-making;CIHR;2019-2020;2019;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;CISEK, Paul;Without Collaborator;0;63;Université de Montréal;Université de Montréal;Universities;Universités;Quebec;Québec;166860;Without Collaborator;0;CIHR11188;DRA;CIHR;Doctoral Research Awards A;Institut de génétique - Subvention pour échange de courte durée
CIHR78222;Behavioural Sciences - C: Behavioural Studies, Neuroscience and Cognition;Structural and functional changes in the brain of early and late blind individuals;CIHR;2022-2023;2020;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;PTITO, Maurice;Internal collaboration;0;63;Université de Montréal;Université de Montréal;Universities;Universités;Quebec;Québec;149940;Internal collaboration;1;CIHR11498;NIB;CIHR;New Investigators B;Recherche sur la gestion des systèmes et la politique de la santé
CIHR80601;Biochemistry & Molecular Biology - A;Structural and functional characterization of type IV secretion system pili;CIHR;2021-2022;2021;1831;Project Grant - Priority Announcement: Infection and Immunity;Grant Awards;Subvention Projet - Annonce de priorités: Maladies infectieuses et immunitaires;Subventions;Pascal, John M;Internal collaboration;0;63;Université de Montréal;Université de Montréal;Universities;Universités;Quebec;Québec;100000;Internal collaboration;1;CIHR11794;BSA;CIHR;Behavioural Sciences - A;Bourses destinées à un professionnel de la santé - Nouveaux chercheurs
CIHR77302;Biochemistry & Molecular Biology - A;Structural biology and biochemistry of PARP enzyme regulation in the DNA damage response and in cancer therapy;CIHR;2020-2021;2020;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;Pascal, John M;Without Collaborator;0;63;Université de Montréal;Université de Montréal;Universities;Universités;Quebec;Québec;118320;Without Collaborator;0;CIHR11194;DRB;CIHR;Doctoral Research Awards - B;Cas speciaux - programmes de bourses
CIHR80604;Biochemistry & Molecular Biology - A;Studies of transient complexes that regulate PML nuclear bodies;CIHR;2021-2022;2021;1831;Project Grant - Priority Announcement: Infection and Immunity;Grant Awards;Subvention Projet - Annonce de priorités: Maladies infectieuses et immunitaires;Subventions;OMICHINSKI, James G;Internal collaboration;0;63;Université de Montréal;Université de Montréal;Universities;Universités;Quebec;Québec;100000;Internal collaboration;1;CIHR11796;RS;CIHR;Respiratory System;Cas speciaux - programmes de bourses
CIHR75313;Biochemistry & Molecular Biology - B;Determining the role of the nuclear basket protein Mlp1/TPR in mRNA homeostasis;CIHR;2023-2024;2019;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;ZENKLUSEN, Daniel R;Internal collaboration;0;63;Université de Montréal;Université de Montréal;Universities;Universités;Quebec;Québec;164475;Internal collaboration;1;CIHR120;CSA;CIHR;Cardiovascular System - A: Cells and Tissues;Cas spéciaux
CIHR87496;Biochemistry & Molecular Biology - B;Investigate features and dynamics of intron RNP biology and its role in modulating RNA metabolism;CIHR;2023-2024;2023;1664;Operating Grant - PA: Genetics (Bridge Funding: Research Priorities);Grant Awards;Subvention de fonctionnement - AP : génétique (fin trans : priorités de rech);Subventions;ZENKLUSEN, Daniel R;Without Collaborator;0;63;Université de Montréal;Université de Montréal;Universities;Universités;Quebec;Québec;100000;Without Collaborator;0;CIHR11480;HTA;CIHR;Health Research Training A - Ph.D.;Bourses de recherche - B
CIHR84137;Biochemistry & Molecular Biology - B;Mechanisms of action of antiestrogens in breast cancer: roles of Ubi-like modifications in transcriptional inactivation of Estrogen Receptor alpha.;CIHR;2022-2023;2022;1866;Project Grant - PA: Breast Cancer Research;Grant Awards;Subvention Projet - AP : Recherche sur le cancer du sein;Subventions;MADER, Sylvie N;Internal collaboration;0;63;Université de Montréal;Université de Montréal;Universities;Universités;Quebec;Québec;100000;Internal collaboration;1;CIHR11774;BMB;CIHR;Biochemistry & Molecular Biology - B;Investigation clinique - A
CIHR87383;Biochemistry & Molecular Biology - B;Mechanisms of action of antiestrogens in breast cancer: roles of ubiquitin-like modifications in transcriptional inactivation of Estrogen Receptor alpha.;CIHR;2023-2024;2023;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;MADER, Sylvie N;Internal collaboration;0;63;Université de Montréal;Université de Montréal;Universities;Universités;Quebec;Québec;119213;Internal collaboration;1;CIHR11825;HSR;CIHR;Health Services Evaluation & Interventions Research - A;Génomique: Biologie computationnelle et biologie des systèmes
