division,group,class,subclass,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10607 Microbiology,,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10607 Microbiology,RDF1060701 Parasitology,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10607 Microbiology,RDF1060702 Bacteriology,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10607 Microbiology,RDF1060703 Microbial genetics,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10607 Microbiology,RDF1060704 Microbial ecology and evolution,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10607 Microbiology,RDF1060705 Microbial physiology,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10607 Microbiology,RDF1060706 Mycology,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10607 Microbiology,RDF1060707 Virology,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10607 Microbiology,RDF1060708 Microbiome,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10607 Microbiology,"RDF1060709 Environmental microbiology (including air microbiology)",,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10607 Microbiology,"RDF1060799 Microbiology, n.e.c.",,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10608 Animal physiology,,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10608 Animal physiology,"RDF1060801 Animal physiology, biophysics",,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10608 Animal physiology,"RDF1060802 Animal physiology, endocrinology",,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10608 Animal physiology,"RDF1060803 Animal physiology, metabolism",,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10608 Animal physiology,"RDF1060804 Animal physiology, circulation",,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10608 Animal physiology,"RDF1060805 Animal physiology, respiration",,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10608 Animal physiology,"RDF1060806 Animal physiology, environmental stress",,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10608 Animal physiology,"RDF1060807 Animal physiology, digestion",,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10608 Animal physiology,"RDF1060808 Animal physiology, exercise",,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10608 Animal physiology,"RDF1060809 Animal physiology, thermoregulation",,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10608 Animal physiology,"RDF1060810 Animal physiology, osmoregulation",,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10608 Animal physiology,"RDF1060811 Animal physiology, toxicology",,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10608 Animal physiology,"RDF1060899 Animal physiology, n.e.c.",,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10609 Plant biology,,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10609 Plant biology,"RDF1060901 Phycology (including marine grasses)",,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10609 Plant biology,RDF1060902 Plant cell and molecular biology,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10609 Plant biology,RDF1060903 Plant developmental and reproductive biology,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10609 Plant biology,RDF1060904 Plant pathology,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10609 Plant biology,RDF1060905 Plant physiology,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10609 Plant biology,RDF1060906 Plant microbiota,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10609 Plant biology,"RDF1060907 Molecular plant and microbe interactions (including host pathogen interactions)",,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10609 Plant biology,RDF1060908 Plant stress biology,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10609 Plant biology,RDF1060909 Plant hormone biology,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10609 Plant biology,RDF1060910 Plant nutrition and metabolism,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10609 Plant biology,RDF1060911 Seed biology,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10609 Plant biology,"RDF1060912 Plant genetics (phytogenetics)",,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10609 Plant biology,"RDF1060999 Plant biology, n.e.c.",,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10610 Zoology,,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10610 Zoology,RDF1061001 Animal behaviour,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10610 Zoology,RDF1061002 Animal cell and molecular biology,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10610 Zoology,RDF1061003 Animal developmental and reproductive biology,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10610 Zoology,RDF1061004 Animal immunology,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10610 Zoology,RDF1061005 Animal physiological ecology,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10610 Zoology,RDF1061006 Animal structures and functions,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10610 Zoology,"RDF1061007 Invertebrate biology (except insect biology)",,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10610 Zoology,RDF1061008 Insect biology,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10610 Zoology,RDF1061009 Mammalogy,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10610 Zoology,RDF1061010 Fish biology,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10610 Zoology,RDF1061011 Bird biology,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10610 Zoology,RDF1061012 Amphibian and reptile biology,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10610 Zoology,RDF1061013 Comparative biomechanics,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10610 Zoology,"RDF1061099 Zoology, n.e.c.",,,
RDF10 Natural sciences,RDF106 Biological sciences,"RDF10611 Neurosciences, biological and chemical aspects",,,,
RDF10 Natural sciences,RDF106 Biological sciences,"RDF10611 Neurosciences, biological and chemical aspects",RDF1061101 Molecular neuroscience,,,
RDF10 Natural sciences,RDF106 Biological sciences,"RDF10611 Neurosciences, biological and chemical aspects",RDF1061102 Cellular neuroscience,,,
RDF10 Natural sciences,RDF106 Biological sciences,"RDF10611 Neurosciences, biological and chemical aspects",RDF1061103 Neurogenetics,,,
RDF10 Natural sciences,RDF106 Biological sciences,"RDF10611 Neurosciences, biological and chemical aspects",RDF1061104 Animal neurobiology,,,
RDF10 Natural sciences,RDF106 Biological sciences,"RDF10611 Neurosciences, biological and chemical aspects",RDF1061105 Behavioural neuroscience of learning and memory,,,
RDF10 Natural sciences,RDF106 Biological sciences,"RDF10611 Neurosciences, biological and chemical aspects",RDF1061106 Behavioural neuroscience of reward and motivation,,,
RDF10 Natural sciences,RDF106 Biological sciences,"RDF10611 Neurosciences, biological and chemical aspects",RDF1061107 Neurocognitive patterns and neural networks,,,
RDF10 Natural sciences,RDF106 Biological sciences,"RDF10611 Neurosciences, biological and chemical aspects",RDF1061108 Neurophysiology,,,
RDF10 Natural sciences,RDF106 Biological sciences,"RDF10611 Neurosciences, biological and chemical aspects","RDF1061199 Neurosciences, biological and chemical aspects, n.e.c",,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10699 Other biological sciences,,,,
RDF10 Natural sciences,RDF106 Biological sciences,RDF10699 Other biological sciences,RDF1069999 Other biological sciences,,,
RDF10 Natural sciences,RDF107 Other natural sciences,,,,,
RDF10 Natural sciences,RDF107 Other natural sciences,RDF10799 Other natural sciences,,,,
RDF10 Natural sciences,RDF107 Other natural sciences,RDF10799 Other natural sciences,"RDF1079999 Other natural sciences, n.e.c.",,,
RDF20-21 Engineering and technology,,,,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",,,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20101 Civil engineering,,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20101 Civil engineering,RDF2010101 Geotechnical engineering,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20101 Civil engineering,RDF2010102 Building construction engineering,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20101 Civil engineering,"RDF2010103 Concrete, cementitious materials and other architectural and construction materials",,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20101 Civil engineering,RDF2010104 Earthquake engineering,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20101 Civil engineering,RDF2010105 Infrastructure engineering,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20101 Civil engineering,RDF2010106 Structural engineering,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20101 Civil engineering,RDF2010107 Water resources infrastructure engineering,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20101 Civil engineering,RDF2010108 Hydraulic engineering,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20101 Civil engineering,RDF2010109 Geomechanics,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20101 Civil engineering,"RDF2010199 Civil engineering, n.e.c.",,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20102 Marine engineering,,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20102 Marine engineering,RDF2010201 Naval architecture,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20102 Marine engineering,RDF2010202 Ocean engineering,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20102 Marine engineering,RDF2010203 Ship hydrodynamics,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20102 Marine engineering,RDF2010204 Marine platform hydrodynamics engineering,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20102 Marine engineering,"RDF2010205 Offshore engineering (including marine platform structures)",,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20102 Marine engineering,RDF2010206 Special marine vehicles engineering,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20102 Marine engineering,"RDF2010299 Marine engineering, n.e.c.",,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20103 Land transportation systems engineering,,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20103 Land transportation systems engineering,RDF2010301 Traffic and highway engineering,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20103 Land transportation systems engineering,RDF2010302 Railway and airport engineering,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20103 Land transportation systems engineering,RDF2010303 Public transportation engineering,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20103 Land transportation systems engineering,RDF2010304 Road safety engineering,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20103 Land transportation systems engineering,RDF2010305 Transportation demand modelling,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20103 Land transportation systems engineering,RDF2010306 Pavement materials and structure,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20103 Land transportation systems engineering,RDF2010307 Transportation systems infrastructure engineering for autonomous vehicles,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20103 Land transportation systems engineering,"RDF2010399 Land transportation systems engineering, n.e.c.",,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20104 Mining engineering,,,,
RDF20-21 Engineering and technology,"RDF201 Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20104 Mining engineering,RDF2010499 Mining engineering,,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",,,,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20201 Human factor engineering,,,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20201 Human factor engineering,RDF2020101 Brain-computer interface,,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20201 Human factor engineering,"RDF2020102 Physical, environmental and cognitive ergonomics",,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20201 Human factor engineering,RDF2020103 Control design,,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20201 Human factor engineering,RDF2020104 Human-computer systems and interface,,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20201 Human factor engineering,RDF2020105 Assistive technologies,,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20201 Human factor engineering,"RDF2020199 Human factor engineering, n.e.c.",,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20202 Systems engineering,,,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20202 Systems engineering,RDF2020201 Design and analysis of systems,,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20202 Systems engineering,RDF2020202 Modelling and applications of systems,,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20202 Systems engineering,RDF2020203 Intelligent renewable energy systems,,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20202 Systems engineering,RDF2020204 Intelligent transport systems,,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20202 Systems engineering,RDF2020205 Production systems engineering,,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20202 Systems engineering,"RDF2020299 Systems engineering, n.e.c.",,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20203 Operational research,,,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20203 Operational research,"RDF2020301 Programming in operational research (including linear and nonlinear programming)",,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20203 Operational research,"RDF2020302 Combinatorial and network optimization (including programming and metaheuristics)",,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20203 Operational research,"RDF2020303 Optimization under uncertainty (including stochastic and robust optimization)",,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20203 Operational research,RDF2020304 Bilevel optimization and game theory,,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20203 Operational research,"RDF2020305 Stochastic models (including queueing and simulation)",,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20203 Operational research,RDF2020306 Decisions and risk analysis,,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20203 Operational research,RDF2020307 Quality systems engineering,,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20203 Operational research,"RDF2020399 Operational research, n.e.c.",,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20204 Biosystems and agricultural engineering,,,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20204 Biosystems and agricultural engineering,RDF2020401 Irrigation,,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20204 Biosystems and agricultural engineering,RDF2020402 Agricultural power machinery,,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20204 Biosystems and agricultural engineering,RDF2020403 Crop management technologies,,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20204 Biosystems and agricultural engineering,RDF2020404 Pesticides and pesticides applications,,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering",RDF20204 Biosystems and agricultural engineering,"RDF2020499 Biosystems and agricultural engineering, n.e.c.",,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering","RDF20299 Other industrial, systems and processes engineering",,,,
RDF20-21 Engineering and technology,"RDF202 Industrial, systems and processes engineering","RDF20299 Other industrial, systems and processes engineering","RDF2029999 Other industrial, systems and processes engineering",,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",,,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20301 Computer engineering,,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20301 Computer engineering,RDF2030101 Systems software,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20301 Computer engineering,"RDF2030102 Computational languages (including domain-specific languages)",,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20301 Computer engineering,RDF2030103 Middleware systems,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20301 Computer engineering,RDF2030104 Computer systems engineering,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20301 Computer engineering,RDF2030105 Computer architecture,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20301 Computer engineering,RDF2030106 Computer memory systems and storage,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20301 Computer engineering,RDF2030107 Digital hardware and technologies,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20301 Computer engineering,RDF2030108 Computer configurable hardware,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20301 Computer engineering,RDF2030109 Computer-aided design,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20301 Computer engineering,RDF2030110 Hardware and software for computer security,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20301 Computer engineering,RDF2030111 Machine learning systems,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20301 Computer engineering,"RDF2030199 Computer engineering, n.e.c.",,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20302 Communications and networks technologies,,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20302 Communications and networks technologies,RDF2030201 Wireless communication systems,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20302 Communications and networks technologies,RDF2030202 Coding and information theory applied to communications and networks technologies,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20302 Communications and networks technologies,RDF2030203 Digital communications,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20302 Communications and networks technologies,RDF2030204 Internet of Things,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20302 Communications and networks technologies,RDF2030205 Software-defined network (SDN),,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20302 Communications and networks technologies,RDF2030206 Cloud computing systems,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20302 Communications and networks technologies,RDF2030207 Service network management systems,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20302 Communications and networks technologies,RDF2030208 Network protocols and architectures,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20302 Communications and networks technologies,RDF2030209 Network science and engineering,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20302 Communications and networks technologies,RDF2030210 Spectrum sharing and management,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20302 Communications and networks technologies,RDF2030211 Multimedia communication and networking,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20302 Communications and networks technologies,RDF2030212 Cyber-physical systems,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20302 Communications and networks technologies,RDF2030213 Cybersecurity and privacy technologies,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20302 Communications and networks technologies,RDF2030214 Fibre-optic communications technologies,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20302 Communications and networks technologies,RDF2030215 Optical networks,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20302 Communications and networks technologies,RDF2030216 Communications and network control systems,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20302 Communications and networks technologies,RDF2030217 Networked robotics and automation,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20302 Communications and networks technologies,"RDF2030299 Communications and networks technologies, n.e.c.",,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20303 Data analytics and signal processing,,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20303 Data analytics and signal processing,RDF2030301 Learning and adaptive systems,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20303 Data analytics and signal processing,RDF2030302 Artificial intelligence engineering,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20303 Data analytics and signal processing,RDF2030303 Optimization and data analytics algorithms and systems,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20303 Data analytics and signal processing,RDF2030304 Distributed computation and signal processing,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20303 Data analytics and signal processing,RDF2030305 Image and video processing and analysis,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20303 Data analytics and signal processing,RDF2030306 Acoustic signal processing,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20303 Data analytics and signal processing,RDF2030307 Computer vision in data analytics and signal processing,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20303 Data analytics and signal processing,RDF2030308 Cognition and cognitive dynamic systems,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20303 Data analytics and signal processing,RDF2030309 Bio-signal processing and analysis,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20303 Data analytics and signal processing,RDF2030310 Signal processing for security and privacy,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20303 Data analytics and signal processing,RDF2030311 Radar and sonar signal processing,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20303 Data analytics and signal processing,RDF2030312 Remote sensing of signal processing,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20303 Data analytics and signal processing,RDF2030313 Signal processing modelling and simulation systems,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20303 Data analytics and signal processing,RDF2030314 Signal processing theory,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20303 Data analytics and signal processing,"RDF2030399 Data analytics and signal processing, n.e.c.",,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20304 Electrical energy systems,,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20304 Electrical energy systems,RDF2030401 Power dynamics and control systems,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20304 Electrical energy systems,RDF2030402 Power electronics,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20304 Electrical energy systems,"RDF2030403 Renewable energy systems (except smart systems engineering)",,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20304 Electrical energy systems,RDF2030404 Power quality,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20304 Electrical energy systems,RDF2030405 Energy storage,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20304 Electrical energy systems,RDF2030406 Smart power grids,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20304 Electrical energy systems,RDF2030407 Power system operation,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20304 Electrical energy systems,RDF2030408 Power system protection,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20304 Electrical energy systems,RDF2030409 Electric machines and drive systems,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20304 Electrical energy systems,RDF2030410 High-Voltage DC (HVDC) systems,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20304 Electrical energy systems,RDF2030411 Power distribution systems,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering",RDF20304 Electrical energy systems,"RDF2030499 Electrical energy systems, n.e.c.",,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering","RDF20305 Electromagnetics, photonics and optics",,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering","RDF20305 Electromagnetics, photonics and optics",RDF2030501 Electricity and magnetism theory,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering","RDF20305 Electromagnetics, photonics and optics",RDF2030502 Applied electromagnetics,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering","RDF20305 Electromagnetics, photonics and optics",RDF2030503 Numerical methods in electromagnetics,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering","RDF20305 Electromagnetics, photonics and optics",RDF2030504 Microwave theory and techniques,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering","RDF20305 Electromagnetics, photonics and optics",RDF2030505 Instruments and circuits for RF microwave and millimeter wave,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering","RDF20305 Electromagnetics, photonics and optics",RDF2030506 Terahertz studies,,,
RDF20-21 Engineering and technology,"RDF203 Electrical engineering, computer engineering, and information engineering","RDF20305 Electromagnetics, photonics and optics",RDF2030507 Antennas and propagation,,,
