division,group,class,subclass,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,"RDF10201 Artificial intelligence (AI)",RDF1020107 Planning and scheduling in artificial intelligence,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,"RDF10201 Artificial intelligence (AI)",RDF1020108 Search methodologies in artificial intelligence,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,"RDF10201 Artificial intelligence (AI)",RDF1020109 Distributed artificial intelligence,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,"RDF10201 Artificial intelligence (AI)",RDF1020110 Data mining,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,"RDF10201 Artificial intelligence (AI)",RDF1020111 Pattern recognition and artificial vision,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,"RDF10201 Artificial intelligence (AI)",RDF1020112 Computer vision in artificial intelligence,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,"RDF10201 Artificial intelligence (AI)",RDF1020113 Cognitive computing,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,"RDF10201 Artificial intelligence (AI)","RDF1020114 Computer modelling on perception, memory and attention",,,
RDF10 Natural sciences,RDF102 Computer and information sciences,"RDF10201 Artificial intelligence (AI)",RDF1020115 Logic programming in artificial intelligence,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,"RDF10201 Artificial intelligence (AI)",RDF1020116 Expert systems technologies in artificial intelligence,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,"RDF10201 Artificial intelligence (AI)","RDF1020199 Artificial intelligence, n.e.c.",,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10202 Theoretical computer science and computational mathematics,,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10202 Theoretical computer science and computational mathematics,RDF1020201 Analysis of algorithms and complexity,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10202 Theoretical computer science and computational mathematics,RDF1020202 Algorithms and data structures,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10202 Theoretical computer science and computational mathematics,RDF1020203 Applied discrete mathematics,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10202 Theoretical computer science and computational mathematics,RDF1020204 Coding and information theory,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10202 Theoretical computer science and computational mathematics,RDF1020205 Computational logic theory,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10202 Theoretical computer science and computational mathematics,RDF1020206 Artificial languages,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10202 Theoretical computer science and computational mathematics,RDF1020207 Mathematical software,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10202 Theoretical computer science and computational mathematics,RDF1020208 Numerical computation,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10202 Theoretical computer science and computational mathematics,RDF1020209 Encryption and cryptography,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10202 Theoretical computer science and computational mathematics,RDF1020210 Distributed programming languages,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10202 Theoretical computer science and computational mathematics,"RDF1020299 Other theoretical computer science and computational mathematics, n.e.c.",,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10203 Programming languages and software engineering,,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10203 Programming languages and software engineering,RDF1020301 Software architecture,,,
